date,UTRGRID100,seconde,hotspot_category,is_hotspot
2017-05-01,1339_4577,622,10-15 min,True
2017-05-01,1348_4539,308,5-10 min,False
2017-05-02,1345_4541,365,5-10 min,False
2017-05-02,1346_4540,314,5-10 min,False
2017-05-02,1346_4541,483,5-10 min,False
2017-05-02,1346_4542,357,5-10 min,False
2017-05-02,1347_4547,305,5-10 min,False
2017-05-02,1348_4546,310,5-10 min,False
2017-05-02,1349_4546,417,5-10 min,False
2017-05-02,1349_4547,734,10-15 min,True
2017-05-02,1349_4548,403,5-10 min,False
2017-05-02,1350_4547,493,5-10 min,False
2017-05-02,1353_4542,419,5-10 min,False
2017-05-02,1353_4543,624,10-15 min,True
2017-05-02,1353_4544,486,5-10 min,False
2017-05-02,1354_4542,617,10-15 min,True
2017-05-02,1354_4543,542,5-10 min,False
2017-05-02,1354_4544,459,5-10 min,False
2017-05-02,1355_4542,332,5-10 min,False
2017-05-02,1355_4543,424,5-10 min,False
2017-05-03,1359_4550,476,5-10 min,False
2017-05-03,1359_4551,874,10-15 min,True
2017-05-03,1360_4549,789,10-15 min,True
2017-05-03,1360_4550,950,15+ min,True
2017-05-03,1360_4551,590,5-10 min,False
2017-05-03,1361_4543,365,5-10 min,False
2017-05-03,1361_4544,315,5-10 min,False
2017-05-03,1361_4547,674,10-15 min,True
2017-05-03,1361_4548,444,5-10 min,False
2017-05-03,1361_4549,332,5-10 min,False
2017-05-03,1361_4550,349,5-10 min,False
2017-05-03,1361_4551,529,5-10 min,False
2017-05-03,1362_4544,438,5-10 min,False
2017-05-03,1362_4545,305,5-10 min,False
2017-05-03,1362_4546,525,5-10 min,False
2017-05-03,1363_4544,581,5-10 min,False
2017-05-03,1363_4547,497,5-10 min,False
2017-05-03,1364_4545,467,5-10 min,False
2017-05-03,1364_4546,378,5-10 min,False
2017-05-03,1365_4534,582,5-10 min,False
2017-05-04,1356_4539,300,<5 min,False
2017-05-04,1356_4540,491,5-10 min,False
2017-05-04,1356_4541,426,5-10 min,False
2017-05-04,1357_4532,556,5-10 min,False
2017-05-04,1357_4533,605,10-15 min,True
2017-05-04,1357_4534,496,5-10 min,False
2017-05-04,1357_4535,489,5-10 min,False
2017-05-04,1357_4536,698,10-15 min,True
2017-05-04,1357_4537,468,5-10 min,False
2017-05-04,1357_4538,411,5-10 min,False
2017-05-04,1358_4532,546,5-10 min,False
2017-05-05,1348_4540,2425,15+ min,True
2017-05-05,1353_4525,444,5-10 min,False
2017-05-05,1354_4525,594,5-10 min,False
2017-05-05,1354_4526,308,5-10 min,False
2017-05-08,1344_4539,637,10-15 min,True
2017-05-08,1344_4540,448,5-10 min,False
2017-05-08,1344_4541,524,5-10 min,False
2017-05-08,1344_4542,364,5-10 min,False
2017-05-08,1344_4543,510,5-10 min,False
2017-05-08,1345_4538,396,5-10 min,False
2017-05-08,1345_4539,368,5-10 min,False
2017-05-08,1345_4540,979,15+ min,True
2017-05-08,1345_4541,798,10-15 min,True
2017-05-08,1345_4542,573,5-10 min,False
